;Z1.2002;Z2.2002;Z3.2002;Z4.2002;Z5.2002;J2.2002;J3.2002;J4.2002;J5.2002;JR.2002;Z1.2018;Z2.2018;Z3.2018;Z4.2018;Z5.2018;J2.2018;J3.2018;J4.2018;J5.2018;JR.2018
Ranunculus repens;0;0,725;0,675;2,55;1,875;0;0;0;0;0;0;0;0;0;0,02;0;0;0,04;0;0
Rubus caesius;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rubus fruticosus agg.;0;0;0;0;3,125;0;0;3,8;0;0;0;0;0;0;25,5;0,5;0;0;0;0
Rubus pedemontanus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,04
Rumex acetosa;0;0;0;0;0;0;0;0;0,05;0;0;0;0;0;0;0;0,08;0;0;0
Rumex crispus;0;0,175;0,05;0;0;0;0,1;0;0;0,05;0;0;0,04;0;0;0,02;0;0;0;0,08
Rumex obtusifolius;0;0;0;0;0;0;0;0;0;0,675;0;0;0;0;0;0;0;0;0;0
Rumex rugosus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rumex sanguineus;0;0;0;0;0;0;0;0;0;0;0;0,06;0,02;0,06;0;0;0;0;0;0
Rumex stenophyllus;0;0;0;0;0;0;0;0;0;0;0;0;0,02;0;0;0;0;0;0;0
Secale cereale;0;0;0;0;0;0;0;0;0,625;0;0;0;0;0;0;0;0;0;0;0
Selinum carvifolia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,58;0;0;0;0
Senecio inaequidens;0;0;0;0;0;0;0;0;1,875;0,675;0;0;0;0;0;0;0;0;0,06;0
Senecio jacobea;0;0;0;0;0;0;0,05;0;0,05;0;0;0;0;0;0;0;0,02;0;0;0,06
Silene dioica;0;0;0;0;0;0,625;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Silene latifolia;0;0;0;0;0;1,875;0;0;0;0,15;0;0;0;0;0;0;0;0;0;0,66
Silene vulgaris;5,625;0;0;0;0;0;0;0;0;0;1,52;0;0;0;0;0;0;0;0;0
Silene x hampeana;0;0;0;0;0;8,75;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sonchus asper;0;0;0;0;0;0;0;0;0,1;0;0;0;0,06;0;0;0;0;0;0;0
Sorbus aria;0;0;0;0;0;0;0;0;0;0;0,02;0;0;0;0;0;0;0;0;0
Stachys sylvatica;0;0;0;0;0,05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Stellaria holostea;0;0;0;0;0;0;0,675;0;0;0;0;0;0;0;0;0;0,12;0;0;0
Stellaria media;0;1,925;0;0;0,05;0,05;0;0;0;0;0;0;0;0,08;0;0;0;0;0;0
Symphoricarpus orbicularis;0;0;0;0;0;0;0;0,625;0;0;0;0;0;0;0;0;0;0;0;0
Tanacetum vulgare;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0
Taraxacum officinale agg.;0;0,725;0,625;0;0;0;0;0;0;0;0;0,02;0,1;0,02;0,04;0;0;0;0;0
Tragopogon pratensis;0;0;0,05;0;0;0;0;0;0;0;0;0;0,04;0;0;0;0;0;0;0
Trifolium dubium;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Trifolium pratense;0;0,675;0;0,625;0;0;0;0;0;0;0;0;0,06;0;0;0;0;0;0;0
Trifolium repens;0;7,5;1,925;0,65;0;0;0;0;0;0;0;0,6;0,04;2,08;0;0;0;0;0;0
Tripleurospermum perforarum;0;0;0;0;0;0;0;0;0;0;0;0,02;0;0,14;0;0;0;0;0;0
Trisetum flavescens;0,625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Urtica dioica;0;6,25;3,125;0,025;16,25;20,625;8,75;14,375;0,05;0;3,5;42,5;10,04;9,58;77,5;9,12;17,04;10,5;11,58;1,5
Valerianella locusta;0;0;0;0;0;0;0;0;1,25;0;0;0;0;0;0;0;0;0;0;0
Verbascum densiflorum;0;0;0;0;0;0;0;0;8,75;0;0;0;0;0;0;0;0;0;0;0
Verbascum thapsus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,12;0
Veronica arvensis;0;0;0;0;0;0;0;0;0,05;0;0;0;0;0,02;0;0;0;0;0;0
Veronica hederifolia;0;0;0;0;0;0;0;0;0;0;0;0,02;0;0;0;0;0;0;0;0
Veronica persica;0;0,05;0,1;0,05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vicia sativa agg.;1,875;0,1;1,9;2,5;1,875;0,15;0,1;0,1;0,675;0,725;0,08;0;0,54;0,15;0;0;0,06;0;0;0,12
Vicia cassubica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,08
Vicia cracca agg.;1,25;0;0;0,2;1,875;0;0;0;0;0;0;0;0;1,54;0;0;0;0;0;0
Vicia grandiflora;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vicia hirsuta;0;0;0;0,2;0,625;0,1;0,775;0,1;0,125;0,75;0;0;0;0,04;0;0;3,66;0;0;0
Vicia sepium;1,925;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0,04;0;0,5;0;0;0
Vicia tetrasperma;0;0;0;0;0;0,1;0,1;0;0;0;0;0;0;0;0;0;0,04;0;0;0
Viola arvensis ;0;0;0;0;0;0;0;0;0,05;0;0;0;0;0,04;0;0;0;0;0;0
